Q9UKT9 ENST00000346872
Q8WXG8 ENST00000513010
Q86XI6 ENST00000519699
A6NDG6 ENST00000333503
Q86XI2 ENST00000449727
P54819 ENST00000354858
P15291 ENST00000379731
A8MVW5 ENST00000453812
Q9Y5Z4 ENST00000607197
Q9UKQ2 ENST00000265769
A8MVW0 ENST00000293443
Q9Y5Z0 ENST00000330333
Q86XI8 ENST00000328759
Q9UL26 ENST00000244040
Q9UL25 ENST00000261263
Q8WXF3 ENST00000431365
Q8WXF0 ENST00000452027
Q9Y5Z7 ENST00000229330
Q9UKQ9 ENST00000376832
Q9Y5Z6 ENST00000305861
Q8WXF1 ENST00000338910
Q13724 ENST00000233616
Q9Y5Z9 ENST00000376810
P54826 ENST00000298743
Q9BUB7 ENST00000312184
Q8WXF8 ENST00000596251
P54821 ENST00000239461
Q8WXF7 ENST00000358385
P42898 ENST00000376590
Q9BUB5 ENST00000371946
Q9BUB4 ENST00000307921
P54829 ENST00000358540
P42892 ENST00000374893
Q9UL33 ENST00000301021
Q9UKR3 ENST00000595793
P40238 ENST00000372470
P41567 ENST00000469257
Q496J9 ENST00000502798
Q9UKR5 ENST00000256319
Q8WXE1 ENST00000320211
Q8WXE0 ENST00000321617
A8MW99 ENST00000602452
Q13733 ENST00000368081
Q8WXE9 ENST00000555447
Q9BUA6 ENST00000223167
P40222 ENST00000373610
Q9BUA3 ENST00000294244
Q9UL40 ENST00000503039
P40227 ENST00000275603
P40225 ENST00000204615
Q9UL42 ENST00000522362
Q9UL41 ENST00000370264
Q8WXD2 ENST00000220478
Q9UKS7 ENST00000434687
Q9UL46 ENST00000216802
Q9UKS6 ENST00000298838
P54840 ENST00000261195
Q8WXD0 ENST00000298386
Q9UL45 ENST00000220531
Q13740 ENST00000306107
Q9UL49 ENST00000335351
P54849 ENST00000256951
Q9NXA8 ENST00000606117
Q8WXD9 ENST00000343516
Q13748 ENST00000321253
P54845 ENST00000396997
Q8WXD5 ENST00000281950
P15289 ENST00000395619
Q86XF0 ENST00000394221
Q9UL51 ENST00000251287
Q9UKT5 ENST00000281623
A8MVX0 ENST00000398800
Q9UL54 ENST00000308893
Q86XF7 ENST00000314228
Q9UKT4 ENST00000229758
A8MW92 ENST00000395386
Q9UL52 ENST00000305363
Q9Y666 ENST00000264930
Q9BTV7 ENST00000279101
Q8J025 ENST00000355285
A3KMH1 ENST00000379310
Q9Y5U5 ENST00000328596
Q9BU76 ENST00000272139
Q9BTV6 ENST00000277540
Q9UKL0 ENST00000570597
Q9Y5U8 ENST00000360961
Q9BTV5 ENST00000221856
Q9BTV4 ENST00000306077
Q9Y5U2 ENST00000451491
Q9Y662 ENST00000360954
Q9BU79 ENST00000257637
Q9Y5U4 ENST00000245787
Q9Y664 ENST00000338134
Q9Y663 ENST00000284110
Q8WWZ1 ENST00000341010
Q9UKL6 ENST00000268896
Q9NWY4 ENST00000393381
Q9Y5U9 ENST00000256433
Q9BU70 ENST00000375119
Q8WWY8 ENST00000296252
Q5XKR9 ENST00000332132
Q8WWY6 ENST00000595891
Q8WWY7 ENST00000372785
Q96QS6 ENST00000276616
Q5XKR4 ENST00000306422
Q96QS3 ENST00000379044
Q8WWY3 ENST00000321030
A1KZ92 ENST00000356297
P29803 ENST00000295266
Q9Y5V0 ENST00000521272
Q9BTU6 ENST00000370631
Q9Y676 ENST00000430402
Q9BU64 ENST00000260662
Q9Y679 ENST00000377526
Q86WZ6 ENST00000313040
Q9Y678 ENST00000314797
Q9Y673 ENST00000239891
Q9Y5V3 ENST00000593373
Q9Y672 ENST00000371108
Q9Y675 ENST00000551312
Q9UKM9 ENST00000246194
Q9NWZ3 ENST00000448290
Q9UKM7 ENST00000371589
Q9NWZ5 ENST00000354216
Q9BU61 ENST00000326925
Q9NWZ8 ENST00000398355
Q5BKT4 ENST00000266483
Q8WWX8 ENST00000347898
Q99996 ENST00000359028
Q8WX93 ENST00000505667
Q8WX94 ENST00000589382
Q6R2W3 ENST00000600483
Q96QR1 ENST00000292641
Q8WX92 ENST00000343053
Q9Y680 ENST00000424785
Q96QR8 ENST00000395699
Q8WWX9 ENST00000400299
Q99999 ENST00000401975
Q9Y5W8 ENST00000428135
Q9BTT4 ENST00000255764
Q6GTX8 ENST00000391742
Q9Y5W7 ENST00000314673
Q496A3 ENST00000288390
Q9UKN1 ENST00000379442
Q9Y689 ENST00000295087
Q9Y5W9 ENST00000359238
Q9UKN7 ENST00000205890
Q9Y5W3 ENST00000248071
Q9UKN5 ENST00000228437
Q6YHK3 ENST00000287097
Q9BTT6 ENST00000370888
Q9Y5W5 ENST00000286574
Q99990 ENST00000370634
Q8WWX0 ENST00000296525
Q9UKN8 ENST00000372146
Q9BTT0 ENST00000314136
Q99986 ENST00000216639
Q99985 ENST00000419255
Q99983 ENST00000375550
Q01740 ENST00000367750
Q8WWW0 ENST00000355294
Q9Y691 ENST00000452583
Q9Y5X1 ENST00000392185
Q86WZ0 ENST00000553558
Q9Y5X0 ENST00000338523
Q9Y5X3 ENST00000377768
Q5XKP0 ENST00000309324
Q9Y5X2 ENST00000222990
Q9Y692 ENST00000294409
Q99988 ENST00000252809
Q8WWW8 ENST00000424127
Q9Y5X9 ENST00000261292
Q9UL03 ENST00000311234
Q9Y698 ENST00000300105
Q86X95 ENST00000342016
Q9UL01 ENST00000359564
Q9Y5X5 ENST00000308744
Q86WX3 ENST00000334678
Q9Y694 ENST00000372585
Q9Y697 ENST00000374092
Q9Y696 ENST00000374379
P54803 ENST00000261304
Q9BU40 ENST00000372042
P54802 ENST00000225927
Q96QP1 ENST00000177648
Q8WWV6 ENST00000450945
Q99973 ENST00000262715
Q8WWV3 ENST00000369063
P17812 ENST00000372621
P17813 ENST00000373203
Q00403 ENST00000370500
Q99972 ENST00000037502
Q9Y5Y2 ENST00000262302
Q9Y5Y4 ENST00000332539
Q9Y5Y3 ENST00000258456
Q9Y5Y0 ENST00000366971
P04554 ENST00000241808
Q9Y624 ENST00000368026
Q9Y623 ENST00000255381
Q9Y5Q3 ENST00000396967
A6NE01 ENST00000327337
Q9Y620 ENST00000336148
Q9Y5Q0 ENST00000278829
Q9BTZ2 ENST00000313250
Q9Y5Q9 ENST00000263956
Q9Y5Q6 ENST00000304526
Q9Y5Q5 ENST00000273857
Q9NWU1 ENST00000280701
Q9NX61 ENST00000162044
Q9Y625 ENST00000377047
Q9NWU2 ENST00000266069
Q9NX62 ENST00000262644
Q9Y5Q8 ENST00000372108
Q9NX63 ENST00000262570
Q9NWU5 ENST00000523037
Q9NX65 ENST00000396852
Q3KRA6 ENST00000409523
Q01726 ENST00000555147
Q86XA0 ENST00000341249
Q9Y5R5 ENST00000302441
Q9Y5R4 ENST00000434410
Q9BTY7 ENST00000347708
Q9UKI2 ENST00000295324
P30837 ENST00000377698
Q5BKX5 ENST00000378313
Q9BTY2 ENST00000002165
Q5BKX6 ENST00000024061
A4D1E1 ENST00000333190
Q9NX70 ENST00000599213
Q9Y5R6 ENST00000382276
Q9UKI9 ENST00000260264
Q9Y639 ENST00000345330
Q9UKI8 ENST00000360843
Q9Y5R8 ENST00000540486
Q9NWV4 ENST00000294360
Q5BKX8 ENST00000307584
Q9NX74 ENST00000565263
Q9NX76 ENST00000205636
A4D1E9 ENST00000222511
Q9NWV8 ENST00000359435
Q9NX78 ENST00000261556
Q96QV6 ENST00000297012
Q01718 ENST00000327606
P30838 ENST00000444455
A6NDP7 ENST00000409745
Q9BTX7 ENST00000262605
Q9UKJ3 ENST00000591680
Q9Y5S2 ENST00000361246
Q9UKJ1 ENST00000198536
Q9UKJ0 ENST00000448382
P30825 ENST00000380752
Q9Y5S1 ENST00000338560
Q9BTX1 ENST00000371429
Q9NWW0 ENST00000248089
Q9UKJ5 ENST00000263921
Q96QV1 ENST00000296575
Q9Y5S8 ENST00000372966
Q9BTX3 ENST00000304800
Q9Y5S9 ENST00000330165
Q9NWW5 ENST00000249806
Q9UKJ8 ENST00000267499
Q9NWW6 ENST00000361092
Q96R67 ENST00000335238
P16520 ENST00000229264
Q96QU6 ENST00000263776
Q9NWW7 ENST00000264434
Q149M9 ENST00000552788
P17844 ENST00000225792
Q96QU8 ENST00000304658
Q5BKU9 ENST00000374741
Q9NWW9 ENST00000255695
Q9Y5T5 ENST00000399976
Q9Y5T4 ENST00000379221
Q9Y657 ENST00000375859
Q9Y651 ENST00000376945
Q9UKK3 ENST00000381989
Q9Y653 ENST00000456916
Q9BTW9 ENST00000355528
Q9BU89 ENST00000250937
Q9UKK6 ENST00000254998
Q96QU1 ENST00000320301
Q149N8 ENST00000275233
P17861 ENST00000344347
Q9NX94 ENST00000448841
Q9NWX5 ENST00000277458
Q9NX95 ENST00000424158
Q9UKK9 ENST00000537776
Q9NWX6 ENST00000231198
Q96QT6 ENST00000332830
Q8WWZ7 ENST00000392676
Q8WWZ8 ENST00000334011
P17858 ENST00000403390
Q96QT4 ENST00000313478
Q8WWZ3 ENST00000334232
Q8WWZ4 ENST00000269081
P04553 ENST00000312511
Q9BUP0 ENST00000264059
Q9BV10 ENST00000330817
Q86XU0 ENST00000333952
Q9BUP3 ENST00000419348
Q9ULF5 ENST00000409086
Q8WY41 ENST00000425699
Q9NXS2 ENST00000012049
Q9NY43 ENST00000370445
Q9NXS3 ENST00000396128
Q9NY46 ENST00000360093
Q9NY47 ENST00000479441
A6NCQ9 ENST00000399398
Q8WXS3 ENST00000297574
Q8WXS4 ENST00000306406
Q86XT2 ENST00000324941
A6ND36 ENST00000345041
Q5UCC4 ENST00000334976
Q86XT9 ENST00000414689
Q9ULG1 ENST00000401393
Q86Y56 ENST00000297440
Q9ULG6 ENST00000442196
Q9NXT0 ENST00000396154
Q86XT4 ENST00000453152
Q9Y6P5 ENST00000436639
Q9NY56 ENST00000539850
Q9NY57 ENST00000282908
Q9NY59 ENST00000219334
Q9BUN5 ENST00000421922
Q96RL7 ENST00000360280
Q8WY36 ENST00000325805
Q96RL6 ENST00000447370
Q8WXR4 ENST00000334231
Q96RL1 ENST00000511320
Q9BUN8 ENST00000259512
Q9Y6Q1 ENST00000324068
Q9Y6Q3 ENST00000553380
Q9Y6Q2 ENST00000309835
Q9ULH0 ENST00000256707
Q9BUN1 ENST00000368926
A6ND48 ENST00000342623
Q9Y6Q9 ENST00000371998
A4D2B0 ENST00000398075
Q9ULH4 ENST00000338305
Q86XS8 ENST00000521389
Q9ULH1 ENST00000518721
Q86Y46 ENST00000305748
Q86XS5 ENST00000334289
Q9Y6Q5 ENST00000590923
Q9ULH7 ENST00000341243
Q9NY61 ENST00000225402
Q9Y6Q6 ENST00000586569
Q9NY64 ENST00000373371
Q9NXU5 ENST00000504924
Q9NY65 ENST00000330423
Q96RK4 ENST00000395205
Q8WXQ8 ENST00000582999
Q96RK0 ENST00000575354
Q8WY21 ENST00000344440
Q96RK1 ENST00000372638
Q8WY22 ENST00000341446
Q9Y6R1 ENST00000425175
Q9Y6R4 ENST00000392142
Q9ULI0 ENST00000238789
Q96RJ6 ENST00000275461
O95900 ENST00000372890
Q9Y6R0 ENST00000252891
Q496Y0 ENST00000371628
Q86XR8 ENST00000325542
Q86Y38 ENST00000261381
Q9ULI4 ENST00000423312
Q86XR7 ENST00000408996
Q86Y37 ENST00000369151
Q9Y6R9 ENST00000263284
Q9ULI3 ENST00000311127
Q9ULI2 ENST00000357529
Q86Y34 ENST00000333493
Q86Y33 ENST00000381375
Q9NY72 ENST00000299333
Q9NXV2 ENST00000301738
Q86XR2 ENST00000335393
Q9Y6R7 ENST00000221347
Q9NY74 ENST00000272342
Q9NXV6 ENST00000504169
Q9BUL9 ENST00000499788
Q86Y39 ENST00000418389
Q96RJ3 ENST00000291232
O95905 ENST00000430082
Q9BUL8 ENST00000470131
O95907 ENST00000320521
Q9BUL5 ENST00000320316
Q9BUT1 ENST00000296424
Q9BV57 ENST00000327435
P52198 ENST00000587250
Q9Y6K5 ENST00000228928
Q9ULB1 ENST00000404971
Q9Y6K1 ENST00000264709
Q9Y6K0 ENST00000357172
Q96S21 ENST00000248139
Q96RQ1 ENST00000360150
Q9ULB5 ENST00000397968
Q8WXW3 ENST00000326291
Q9ULB4 ENST00000231021
Q96RQ3 ENST00000265594
Q9Y6K9 ENST00000369609
Q9Y6K8 ENST00000354567
Q86XX4 ENST00000264895
Q9BV40 ENST00000263864
Q9BV47 ENST00000256261
P05813 ENST00000225387
O95922 ENST00000266254
Q86Y91 ENST00000593135
P05814 ENST00000353151
Q9BV44 ENST00000345094
Q9Y6L6 ENST00000256958
Q9ULC3 ENST00000468148
Q9ULC0 ENST00000296420
Q86Y97 ENST00000255613
Q9ULC6 ENST00000375471
Q9ULC5 ENST00000356116
Q9ULC4 ENST00000371315
Q9NY12 ENST00000394631
Q9Y6L7 ENST00000357947
Q9NY15 ENST00000321725
Q9ULC8 ENST00000405930
Q96S19 ENST00000397666
Q96RP9 ENST00000264263
Q9NXP7 ENST00000399004
O95926 ENST00000236273
O95925 ENST00000504988
Q9BV38 ENST00000251289
Q96S15 ENST00000248142
Q96RP7 ENST00000413800
Q96S16 ENST00000293882
Q86Y82 ENST00000373943
Q9BV36 ENST00000264605
Q9BUR5 ENST00000379226
Q9BV35 ENST00000264088
Q9BUR4 ENST00000396463
O95931 ENST00000216133
Q9ULD0 ENST00000374103
Q9Y6M5 ENST00000367001
Q9Y6M4 ENST00000395412
Q9Y6M7 ENST00000454389
Q9ULD4 ENST00000357641
Q9Y6M1 ENST00000382199
Q9Y6M0 ENST00000005995
Q9ULD2 ENST00000262102
Q8WY64 ENST00000356840
Q9ULD6 ENST00000335251
Q8WXU2 ENST00000321149
Q9ULD5 ENST00000247930
Q9Y6M9 ENST00000276689
Q9NY25 ENST00000567443
Q9ULD9 ENST00000306315
Q9NY26 ENST00000310483
Q9BV29 ENST00000558750
Q9NY27 ENST00000356692
Q9NY28 ENST00000252318
Q9BUQ8 ENST00000308025
O95936 ENST00000295743
O95935 ENST00000369663
Q6I9Y2 ENST00000295899
Q96S06 ENST00000262301
Q9BV20 ENST00000040663
O95944 ENST00000373089
Q9BV23 ENST00000478253
Q9Y6N6 ENST00000361069
Q9ULE0 ENST00000454666
Q9Y6N5 ENST00000260324
Q01780 ENST00000376936
Q9Y6N8 ENST00000264463
Q9Y6N7 ENST00000464233
A6ND91 ENST00000389208
Q86Y79 ENST00000543175
Q86Y78 ENST00000409381
Q9Y6N1 ENST00000576370
Q9ULE3 ENST00000537639
Q00444 ENST00000312492
Q9NY30 ENST00000356018
Q9NXR1 ENST00000396353
Q96RN1 ENST00000490799
Q9NY33 ENST00000541961
Q9ULE6 ENST00000263563
Q9NY35 ENST00000513287
Q9NXR5 ENST00000267339
Q9Y6N9 ENST00000005226
Q9NXR7 ENST00000344773
Q9NXR8 ENST00000315870
O95948 ENST00000491143
O95947 ENST00000279386
Q96RN5 ENST00000263205
Q8WY54 ENST00000308249
Q9BV19 ENST00000372525
Q8WXT5 ENST00000377413
Q13753 ENST00000264144
Q13751 ENST00000391911
Q96RE7 ENST00000292431
Q8WXK3 ENST00000357700
O95954 ENST00000359679
Q8WXK4 ENST00000362002
Q9Y6G1 ENST00000211314
Q86XM0 ENST00000381624
Q96RE9 ENST00000274599
Q9BUG6 ENST00000587340
Q9Y6G9 ENST00000273130
Q9Y6G3 ENST00000552217
Q9Y6G5 ENST00000274458
Q8WXK1 ENST00000451558
Q13761 ENST00000338888
Q9NXK6 ENST00000340965
Q3B726 ENST00000222567
Q9NXK8 ENST00000247977
Q13765 ENST00000393891
Q8WXJ9 ENST00000284142
Q96RD7 ENST00000227638
Q96RD6 ENST00000395842
Q96RD1 ENST00000379668
O95967 ENST00000531972
Q13769 ENST00000397871
Q96RD0 ENST00000375013
Q6WBX8 ENST00000409425
Q9Y6H1 ENST00000395422
Q96RD9 ENST00000361835
E9PB15 ENST00000453594
Q9Y6H8 ENST00000241125
Q9BUF5 ENST00000317702
Q9Y6H3 ENST00000300145
Q9Y6H6 ENST00000525550
Q9Y6H5 ENST00000261367
Q9BUF7 ENST00000356762
Q86XL3 ENST00000357997
Q9NXL2 ENST00000420470
O95969 ENST00000244926
Q05D32 ENST00000260327
O95968 ENST00000306238
Q13772 ENST00000578454
Q9NXL9 ENST00000316316
P52179 ENST00000356443
Q8WXI8 ENST00000299665
Q5D0E6 ENST00000341949
O95972 ENST00000252677
O95971 ENST00000369288
Q8WXI3 ENST00000420175
Q6Q0C1 ENST00000361529
O95977 ENST00000246115
Q8WXI4 ENST00000371316
O95976 ENST00000268389
Q6Q0C0 ENST00000326181
Q8WXI2 ENST00000379510
Q9Y6I3 ENST00000411543
Q2I0M5 ENST00000217260
O95970 ENST00000371418
Q8WXI9 ENST00000576342
Q9Y6I9 ENST00000395057
P40145 ENST00000286355
Q9Y6I8 ENST00000409299
Q86XK7 ENST00000415430
Q9Y6I4 ENST00000380324
Q86XK3 ENST00000336358
Q9Y6I7 ENST00000262394
Q9BUE6 ENST00000375991
Q86XK2 ENST00000403359
Q9BUE0 ENST00000373842
Q8WXH6 ENST00000304236
O95985 ENST00000357179
O95983 ENST00000434436
Q8WXH4 ENST00000480796
Q8WXH5 ENST00000395472
O95989 ENST00000607016
Q8WXH2 ENST00000284262
O95988 ENST00000340722
Q8WXH0 ENST00000358025
Q2VY69 ENST00000421176
A3KN83 ENST00000420886
Q9ULA0 ENST00000273075
O95980 ENST00000377966
Q9Y6J0 ENST00000398319
Q9Y6J9 ENST00000294168
Q9Y6J6 ENST00000290310
Q9Y6J8 ENST00000574630
Q9BUD6 ENST00000431380
Q86XJ1 ENST00000547754
Q13790 ENST00000398189
Q9NXN4 ENST00000369443
Q13794 ENST00000316660
Q11130 ENST00000314412
O95996 ENST00000535453
Q13797 ENST00000264741
O95995 ENST00000268699
Q13796 ENST00000380913
O95994 ENST00000419304
Q13795 ENST00000359715
Q9NXF7 ENST00000536863
Q9NXF8 ENST00000564466
O95999 ENST00000370580
O95998 ENST00000534583
Q8WY07 ENST00000374299
O95997 ENST00000352433
Q86Y26 ENST00000333756
Q86Y25 ENST00000315475
O95992 ENST00000371852
Q86Y22 ENST00000390654
O95990 ENST00000360997
Q9Y6C2 ENST00000380320
Q9Y6C5 ENST00000372192
Q9UKY1 ENST00000297857
Q9UKY0 ENST00000305817
Q96RI1 ENST00000551379
Q9UKY4 ENST00000261534
Q9BUK0 ENST00000303759
Q9NXG0 ENST00000380647
Q9NXG2 ENST00000396083
Q9BUK6 ENST00000245564
Q9Y6C9 ENST00000302503
Q9UKY7 ENST00000264993
Q9NXG6 ENST00000343546
Q86XP6 ENST00000328895
Q86Y13 ENST00000463306
Q86XP3 ENST00000578681
Q86XP1 ENST00000337343
Q86XP0 ENST00000290472
Q9Y6D6 ENST00000262215
P40199 ENST00000199764
P40198 ENST00000357396
Q9Y6D5 ENST00000371917
P40197 ENST00000323007
Q9Y6D0 ENST00000495461
Q9UKZ1 ENST00000289382
Q9BUJ2 ENST00000392006
Q9BUJ0 ENST00000273596
Q9UKZ4 ENST00000422452
Q9UKZ9 ENST00000295992
Q9Y6D9 ENST00000399654
A4D1T9 ENST00000438520
Q9NXH8 ENST00000357503
Q9NXH9 ENST00000437766
P54793 ENST00000381127
Q86Y01 ENST00000257600
P40189 ENST00000502326
Q9Y6E7 ENST00000202967
Q9Y6E0 ENST00000376547
Q86Y07 ENST00000340157
Q9Y6E2 ENST00000433922
A4D1U4 ENST00000536163
Q96RG2 ENST00000358649
Q9BUI4 ENST00000334163
Q9NXI6 ENST00000375121
A4D1S5 ENST00000275874
Q9BUH8 ENST00000355173
Q9Y6F6 ENST00000423302
Q9BUH6 ENST00000371620
Q9Y6F8 ENST00000306609
Q9Y6F7 ENST00000250838
Q86XN8 ENST00000388824
Q9Y6F1 ENST00000398755
Q86XN7 ENST00000352251
Q9NXJ0 ENST00000016913
Q96RF0 ENST00000326277
Q9NXJ5 ENST00000269919
Q9Y6F9 ENST00000233948
Q8WWA0 ENST00000326245
Q5FWF5 ENST00000269214
Q7KZF4 ENST00000354725
Q8WWA1 ENST00000314124
P26022 ENST00000295927
Q5FWF6 ENST00000331410
Q5FWF7 ENST00000377957
P27352 ENST00000257248
Q5FWF4 ENST00000264159
Q9UK39 ENST00000280614
Q96PZ0 ENST00000469408
A5YKK6 ENST00000317147
Q96PZ2 ENST00000531147
P15374 ENST00000377595
Q9UK41 ENST00000565984
Q9UJS0 ENST00000416240
Q9UK45 ENST00000252622
Q86WC6 ENST00000330261
P27348 ENST00000381844
Q86WC4 ENST00000193322
Q9NWA0 ENST00000268711
P28698 ENST00000215057
P02042 ENST00000380299
P27361 ENST00000263025
Q86WA9 ENST00000546047
Q96PY6 ENST00000507142
P30990 ENST00000256010
Q96PY5 ENST00000288670
Q6XE24 ENST00000383767
Q86WB0 ENST00000358303
Q96PX6 ENST00000407595
Q96PX9 ENST00000283426
P15382 ENST00000399286
Q96PX8 ENST00000377084
Q9UJT2 ENST00000246801
Q9UJT1 ENST00000592426
Q86WB7 ENST00000230256
Q9UJT0 ENST00000368658
Q9UK55 ENST00000554173
P40313 ENST00000574481
Q9UK53 ENST00000375774
P52333 ENST00000458235
Q9NWB1 ENST00000311745
Q9UJT9 ENST00000504595
Q9UK59 ENST00000260803
Q9UK58 ENST00000295926
P51003 ENST00000216277
A9YTQ3 ENST00000316418
P29992 ENST00000078429
P30989 ENST00000370501
Q9NWB6 ENST00000400198
P30988 ENST00000423724
Q9NWB7 ENST00000264538
Q96PX1 ENST00000269391
P53667 ENST00000336180
Q96Q89 ENST00000371728
Q86WA8 ENST00000285737
Q9UJU3 ENST00000337401
Q9UJU2 ENST00000265165
Q9UK61 ENST00000355628
P40306 ENST00000358514
Q86WA6 ENST00000380379
P40305 ENST00000298902
P03372 ENST00000206249
Q9UJU6 ENST00000468694
Q9UJU5 ENST00000371116
P53675 ENST00000263200
P26012 ENST00000222573
P28676 ENST00000437150
Q9BSY9 ENST00000302550
P53673 ENST00000354760
P53674 ENST00000215939
Q9NWC5 ENST00000323523
P53671 ENST00000340552
P53672 ENST00000392096
P26010 ENST00000267082
Q5FWE3 ENST00000412055
Q14916 ENST00000244527
Q96Q83 ENST00000302708
Q14914 ENST00000309195
Q96Q80 ENST00000406855
Q14919 ENST00000312515
P53677 ENST00000518421
Q9BSY4 ENST00000324913
Q96PV4 ENST00000439251
Q96Q77 ENST00000269878
Q96PV7 ENST00000514747
Q96PV6 ENST00000326764
Q9UK73 ENST00000306917
Q9UJV3 ENST00000262843
Q9UJV8 ENST00000475541
P27338 ENST00000378069
Q9UK76 ENST00000356033
P26006 ENST00000007722
A4D2P6 ENST00000457091
O43196 ENST00000578225
Q9Y584 ENST00000327158
Q9UJN7 ENST00000244576
Q9Y587 ENST00000216366
Q9Y586 ENST00000317605
Q9Y4W6 ENST00000269143
Q9BTA9 ENST00000354911
P53602 ENST00000301012
Q14929 ENST00000395395
Q86WG5 ENST00000256190
Q86WG3 ENST00000301260
P53609 ENST00000419445
Q9Y592 ENST00000397807
Q9Y4X1 ENST00000514019
Q9Y4X4 ENST00000377669
Q9Y4X3 ENST00000259631
A8MWY0 ENST00000450689
Q9Y4X0 ENST00000262844
Q9UK05 ENST00000581492
Q7KZI7 ENST00000402010
Q14934 ENST00000413692
Q9Y4X5 ENST00000379887
Q9UK08 ENST00000300873
Q13601 ENST00000229214
Q9Y597 ENST00000259154
Q13608 ENST00000304611
Q14938 ENST00000592199
P53618 ENST00000439561
P53611 ENST00000319942
Q13609 ENST00000318316
P14091 ENST00000583663
Q9UK11 ENST00000434772
Q9UK10 ENST00000262894
P26045 ENST00000374541
P53621 ENST00000368069
Q13610 ENST00000412830
O43175 ENST00000369409
Q9UJP4 ENST00000377658
Q14940 ENST00000299798
Q9UK13 ENST00000592350
Q13615 ENST00000401950
Q13614 ENST00000346299
Q13613 ENST00000370390
Q9Y4Y9 ENST00000450169
Q14943 ENST00000400847
Q9UK17 ENST00000315987
Q2VWP7 ENST00000389286
Q13619 ENST00000375440
Q13618 ENST00000264414
Q13617 ENST00000537177
Q13616 ENST00000602748
Q6XE38 ENST00000358585
Q8WWC4 ENST00000392290
Q6BDS2 ENST00000192788
P14061 ENST00000585807
P15391 ENST00000567541
P14060 ENST00000528909
A6NEK1 ENST00000381781
Q9Y4Z0 ENST00000593829
Q9UK23 ENST00000312251
P26038 ENST00000360270
O43184 ENST00000368679
Q9UK22 ENST00000354287
Q9Y4Z2 ENST00000242462
O43182 ENST00000337414
O43181 ENST00000296684
O43187 ENST00000256458
O43186 ENST00000221996
Q13620 ENST00000404115
Q9UJQ4 ENST00000217086
